;idade;perfil;renda_sm;ticket_medio
710;26;b;4.8;178.7
711;32;c;4.8;116.65
712;34;b;4.2;184.2
713;29;c;5.7;101.77
714;32;c;5.4;119.46
715;31;a;1.8;440.64
716;29;c;6.6;116.72
717;25;c;7.2;107.59
718;27;c;5.1;109.87
719;31;c;5.1;105.11
720;26;c;6.0;113.14
721;30;c;5.1;88.58
722;27;c;7.5;110.57
723;38;c;5.7;155.46
724;24;b;3.9;117.2
725;37;a;1.8;419.08
726;30;b;4.8;164.72
727;38;a;0.9;451.55
728;25;c;6.0;96.99
729;27;b;3.6;137.71
730;25;b;3.3;196.92
731;31;c;4.8;139.03
732;35;a;0.9;273.42
733;22;b;3.3;189.27
734;22;b;5.1;120.18
735;20;b;3.6;131.68
736;25;c;5.7;110.25
737;24;b;3.3;120.32
738;34;b;3.6;167.55
739;30;c;6.0;128.57
740;38;c;5.7;133.83
741;32;c;5.4;100.56
742;33;b;3.6;141.2
743;27;b;3.3;150.53
744;23;b;5.1;143.96
745;33;c;7.5;98.04
746;31;c;6.3;109.67
747;20;b;4.8;129.09
748;27;c;5.4;124.02
749;33;c;5.1;105.9
750;30;c;7.2;109.58
751;31;a;1.8;361.25
752;27;b;3.9;153.25
753;30;c;7.2;94.62
754;27;c;7.5;131.14
755;34;a;0.3;229.37
756;32;c;5.1;132.25
757;27;c;6.3;81.11
758;28;c;5.4;122.29
759;25;b;4.2;114.22
760;27;b;3.3;169.81
761;34;c;6.3;100.91
762;30;c;6.3;146.37
763;20;c;4.8;102.1
764;36;c;5.1;129.03
765;29;c;6.0;92.69
766;38;c;6.9;120.3
767;32;b;3.9;199.97
768;28;c;6.3;105.03
769;24;b;3.6;174.27
770;31;b;3.3;166.14
771;33;c;6.3;88.5
772;32;c;7.2;152.51
773;34;c;5.1;93.19
774;25;b;3.9;134.11
775;29;b;4.2;130.65
776;27;c;5.4;125.55
777;28;b;4.2;117.88
778;30;c;5.4;134.75
779;27;b;3.3;144.08
780;31;c;5.7;98.27
781;28;c;5.4;108.24
782;27;b;4.8;151.49
783;28;b;4.5;155.45
784;25;c;7.2;99.16
785;34;b;3.0;203.33
786;25;c;6.3;165.98
787;27;c;6.3;112.14
788;26;b;3.0;173.78
789;31;c;5.7;111.72
790;24;b;3.0;106.15
791;32;c;6.9;119.51
792;26;c;5.4;112.9
793;38;c;5.4;101.11
794;34;c;5.4;126.69
795;32;c;4.5;93.57
796;30;a;0.3;530.18
797;30;b;5.1;119.18
798;28;b;3.9;139.0
799;25;b;3.9;164.68
800;27;b;4.8;166.35
801;33;b;5.1;118.6
802;22;c;5.7;116.32
803;34;c;6.6;123.71
804;39;a;1.5;415.09
805;26;b;3.0;134.58
806;25;b;4.5;114.89
807;32;c;4.8;98.6
808;24;b;3.6;119.86
809;40;a;1.8;419.93
810;30;c;5.1;115.07
811;32;c;4.8;105.8
812;31;c;6.3;76.67
813;32;c;5.4;132.17
814;23;b;4.8;149.75
815;20;b;4.8;109.48
816;29;b;4.2;143.27
817;28;c;6.6;116.54
818;33;c;4.5;142.29
819;25;c;5.7;125.56
820;36;c;6.3;124.23
821;27;c;5.1;99.21
822;31;c;4.2;106.32
823;33;c;7.5;141.92
824;28;b;5.1;139.42
825;30;c;6.6;163.73
826;29;c;7.5;137.73
827;33;c;5.4;117.06
828;36;c;6.3;136.39
829;30;b;5.4;191.63
830;42;a;1.2;458.1
831;32;c;6.6;110.58
832;26;c;6.3;97.98
833;27;c;5.7;99.9
834;27;c;5.4;134.7
835;29;c;5.1;102.78
836;32;c;7.2;95.57
837;31;c;4.5;148.32
838;34;c;4.2;112.35
839;31;c;6.0;115.39
840;26;b;4.2;161.49
841;36;c;7.5;115.17
842;38;c;5.1;158.4
843;32;c;5.7;142.42
844;28;c;6.0;79.3
845;30;b;4.5;159.28
846;33;b;5.1;156.27
847;29;a;0.6;334.79
848;25;b;4.5;143.23
849;33;c;4.2;102.77
850;38;c;4.8;115.73
851;34;b;3.3;180.97
852;30;b;5.4;169.03
853;36;c;5.7;101.1
854;34;b;3.9;144.98
855;33;b;3.0;128.56
856;31;c;6.3;126.44
857;25;b;4.8;123.73
858;22;c;6.6;122.43
859;27;b;3.0;178.13
860;29;a;0.3;458.58
861;32;b;4.2;166.1
862;30;c;7.2;103.74
863;29;c;4.8;119.13
864;32;a;0.6;336.88
865;26;b;5.4;170.85
866;31;c;4.5;114.37
867;34;c;7.5;104.14
868;33;c;5.1;91.19
869;29;b;4.5;155.64
870;32;c;4.5;120.74
871;29;b;5.1;161.37
872;31;c;7.2;85.58
873;29;c;6.9;100.1
874;37;a;0.3;254.18
875;28;c;6.0;106.03
876;34;c;5.7;139.38
877;26;c;5.7;115.52
878;28;c;6.9;86.14
879;29;c;4.2;75.35
880;26;c;7.2;98.31
881;22;c;6.6;113.54
882;30;b;4.5;189.9
883;22;c;6.6;101.14
884;30;c;5.4;101.09
885;31;b;3.3;151.1
886;32;c;6.3;101.98
887;38;a;0.9;309.2
888;32;b;5.4;172.64
889;35;a;0.3;270.47
890;26;b;5.1;194.37
891;31;c;7.2;108.76
892;33;c;5.1;143.84
893;41;a;1.8;402.18
894;31;c;7.5;138.96
895;28;c;4.2;108.03
896;44;a;1.5;296.06
897;29;b;4.5;147.73
898;28;c;4.2;84.84
899;29;c;7.5;117.33
900;34;b;3.9;127.0
901;30;c;6.3;120.59
902;27;b;3.9;111.0
903;32;c;7.2;133.36
904;38;c;5.4;116.53
905;33;a;0.9;417.67
906;34;b;3.3;155.14
907;38;c;4.8;128.3
908;33;c;5.4;93.08
909;20;b;4.5;175.94
910;25;b;4.8;173.36
911;32;c;4.5;114.2
912;28;b;3.6;141.86
913;28;c;7.5;96.34
914;38;c;4.8;108.67
915;30;b;3.3;154.35
916;25;c;5.1;107.05
917;29;c;5.7;121.72
918;27;b;5.4;167.6
919;44;a;0.3;574.8
920;33;b;3.0;107.21
921;24;b;3.6;113.54
922;27;c;7.5;135.86
923;30;b;5.1;179.31
924;36;c;6.9;95.44
925;32;c;4.5;143.52
926;28;c;4.5;124.5
927;27;c;4.5;130.77
928;33;a;1.5;420.67
929;38;c;6.6;129.07
930;30;b;3.9;153.03
931;30;c;4.2;113.98
932;25;b;4.8;110.8
933;38;c;6.9;129.58
934;27;c;6.3;110.82
935;31;c;7.2;120.19
936;25;b;3.0;150.38
937;22;b;5.1;139.64
938;26;b;5.1;121.67
939;22;c;6.3;122.98
940;34;c;4.2;103.28
941;30;b;5.1;118.9
942;34;c;6.3;124.63
943;31;b;3.6;96.92
944;31;c;6.0;102.11
945;31;c;5.4;133.71
946;22;b;4.2;123.02
947;29;a;1.2;368.25
948;22;c;7.2;134.49
949;29;c;6.3;89.14
950;27;b;3.3;168.06
951;34;b;4.2;132.17
952;29;c;6.3;91.36
953;22;c;4.5;116.96
954;31;c;5.7;130.84
955;30;c;7.2;110.34
956;27;b;3.9;146.96
957;32;c;6.0;115.1
958;33;a;0.6;482.36
959;27;c;6.3;122.21
960;34;b;4.8;182.2
961;31;c;6.0;109.84
962;27;c;4.2;130.7
963;22;c;6.3;94.69
964;23;b;4.2;185.64
965;30;b;3.9;181.08
966;34;c;4.8;127.75
967;28;c;4.5;132.4
968;24;b;4.8;123.7
969;30;b;5.1;150.6
970;34;c;6.6;100.41
971;26;c;7.2;109.53
972;20;b;4.5;162.0
973;31;b;3.9;121.67
974;34;a;0.6;526.6
975;26;b;3.3;180.62
976;29;a;1.8;364.47
977;27;b;5.4;160.67
978;23;b;3.9;145.35
979;27;c;5.7;105.34
980;27;c;4.8;131.04
981;33;c;4.8;136.75
982;30;c;7.2;85.26
983;30;c;7.2;119.98
984;33;c;7.5;161.87
985;31;c;6.6;127.82
986;38;c;7.2;105.63
987;36;c;7.5;123.65
988;24;b;3.3;200.97
989;28;c;4.8;108.9
990;33;c;5.4;122.67
991;25;b;4.5;144.82
992;20;b;4.2;107.04
993;33;b;4.2;172.43
994;22;c;5.7;95.25
995;29;c;6.0;154.98
996;34;c;4.8;99.78
997;26;b;5.1;136.48
998;27;b;3.9;128.78
999;26;b;5.4;182.15
1000;31;c;5.1;133.55
1001;36;c;5.4;115.23
1002;23;b;4.5;151.03
1003;22;b;5.1;134.93
1004;36;a;1.8;364.81
1005;22;b;5.1;147.78
1006;34;c;5.4;117.87
1007;33;b;4.2;144.02
1008;23;b;4.2;98.1
1009;26;c;7.2;138.06
1010;31;a;1.5;302.06
1011;29;c;6.6;104.0
1012;33;c;4.8;102.3
1013;30;b;3.3;125.23
1014;30;b;3.3;128.9
1015;36;c;6.6;126.93
1016;33;c;5.4;124.62
1017;34;b;3.6;188.11
1018;27;c;4.8;106.43
1019;29;b;4.2;187.76
1020;31;b;4.8;186.7
1021;36;c;4.5;149.1
1022;22;c;6.0;85.13
1023;33;b;3.6;124.49
1024;29;c;6.9;152.47
1025;26;c;4.5;119.59
1026;25;b;4.5;175.53
1027;24;b;4.5;151.79
1028;38;c;6.9;107.09
1029;27;c;6.3;127.21
1030;22;b;3.9;190.77
1031;25;b;5.1;135.0
1032;38;c;4.5;96.11
1033;27;c;6.0;94.67
1034;39;a;1.5;360.93
1035;26;c;6.3;119.84
1036;23;b;4.5;158.6
1037;32;c;6.3;116.65
1038;31;b;5.4;163.26
1039;25;b;4.2;226.6
1040;40;a;1.8;318.0
1041;23;b;3.3;118.37
1042;25;b;4.2;207.45
1043;32;b;4.8;161.62
1044;29;c;6.9;148.82
1045;29;c;5.4;122.55
1046;38;c;4.5;126.61
1047;34;c;6.9;123.05
1048;30;b;4.5;160.64
1049;23;b;3.0;173.26
1050;28;c;7.2;80.92
1051;34;c;5.4;102.82
1052;26;c;4.8;99.38
1053;23;b;5.4;155.4
1054;25;b;4.2;121.69
1055;27;c;6.3;146.78
1056;38;c;4.2;136.39
1057;27;b;3.0;146.92
1058;29;b;3.0;140.02
1059;27;b;3.3;137.97
1060;34;b;4.5;215.07
1061;33;b;3.0;113.59
1062;27;b;5.1;146.93
1063;31;c;4.8;117.75
1064;31;b;3.9;114.39
1065;30;b;5.1;155.06
1066;25;c;5.7;156.41
1067;28;c;7.2;100.8
1068;38;c;4.5;101.69
1069;38;c;6.6;117.9
1070;30;c;7.2;90.33
1071;22;c;5.7;120.26
1072;34;c;6.6;111.04
1073;32;b;4.5;159.93
1074;41;a;1.5;270.25
1075;22;c;6.9;138.96
1076;28;c;6.9;117.92
1077;26;b;4.5;143.65
1078;31;b;3.3;131.48
1079;26;b;3.0;166.37
1080;30;c;7.2;95.19
1081;32;b;4.2;158.34
1082;27;c;5.1;113.98
1083;31;b;3.6;112.33
1084;24;b;3.3;200.82
1085;22;b;4.2;108.92
1086;25;c;6.0;130.18
1087;24;b;3.3;194.03
1088;29;b;3.0;172.75
1089;38;c;7.2;114.18
1090;34;a;0.9;528.3
1091;36;c;6.9;114.86
1092;33;b;5.1;147.91
1093;33;c;5.4;107.28
1094;28;b;4.5;165.78
1095;28;b;5.1;138.14
1096;26;b;4.8;145.76
1097;36;c;7.2;94.9
1098;23;b;3.6;119.48
1099;31;c;5.7;87.06
1100;26;b;4.5;223.77
1101;30;c;5.1;117.76
1102;31;b;4.8;186.57
1103;35;a;1.2;362.07
1104;25;b;4.5;171.02
1105;27;b;5.1;146.2
1106;40;a;0.9;322.38
1107;28;c;4.5;128.33
1108;31;c;5.7;126.82
1109;27;c;6.6;105.81
1110;38;a;1.2;293.84
1111;44;a;1.5;326.93
1112;23;b;3.3;149.62
1113;24;b;4.5;221.23
1114;24;b;3.6;168.35
1115;24;b;3.6;157.17
1116;23;b;5.4;175.67
1117;33;b;4.2;93.27
1118;29;c;5.1;139.41
1119;27;b;3.9;166.41
1120;33;c;6.3;148.1
1121;28;c;6.9;118.88
1122;30;c;4.8;122.49
1123;31;c;4.5;123.51
1124;25;c;5.7;122.65
1125;29;c;6.0;113.86
1126;38;c;4.5;104.22
1127;26;b;5.1;168.33
1128;25;c;6.3;118.62
1129;28;b;5.1;148.45
1130;38;c;7.2;116.46
1131;28;b;4.5;163.36
1132;32;c;7.5;152.78
1133;22;c;7.5;109.2
1134;29;b;4.5;158.14
1135;25;c;4.5;77.89
1136;22;b;5.4;129.97
1137;34;b;3.9;139.02
1138;26;c;6.3;93.62
1139;30;c;6.0;128.16
1140;20;b;4.5;162.3
1141;34;c;5.4;136.04
1142;38;c;6.6;138.9
1143;26;c;6.9;105.35
1144;31;c;4.5;130.16
1145;38;c;6.9;134.08
1146;41;a;0.3;313.2
1147;33;c;5.7;144.54
1148;30;b;4.2;122.71
1149;30;b;3.0;174.33
1150;27;b;3.6;127.21
1151;26;b;3.6;130.02
1152;31;a;1.5;428.64
1153;23;b;3.6;139.93
1154;34;c;4.5;81.87
1155;36;a;0.6;278.06
1156;31;c;4.8;114.98
1157;26;b;4.2;110.88
1158;30;c;7.5;120.23
1159;25;c;4.8;104.4
1160;28;c;4.2;105.29
1161;36;c;5.1;116.38
1162;27;b;5.1;138.85
1163;32;c;4.8;110.43
1164;22;c;7.5;89.03
1165;22;b;5.4;156.0
1166;36;c;6.3;113.73
1167;28;b;5.1;139.02
1168;32;b;3.3;149.59
1169;28;c;5.4;116.06
1170;32;c;6.3;131.77
1171;27;b;5.1;145.07
1172;40;a;1.2;437.33
1173;30;b;5.4;179.22
1174;31;c;5.1;108.05
1175;36;c;6.6;101.7
1176;27;c;6.9;113.43
1177;29;b;5.4;193.19
1178;30;b;3.6;138.14
1179;20;b;3.6;132.6
1180;38;c;6.9;126.49
1181;22;b;3.6;144.08
1182;32;c;6.9;113.86
1183;38;c;4.2;96.56
1184;25;c;4.8;102.3
1185;30;c;7.2;93.7
1186;25;b;3.0;111.59
1187;30;c;6.3;113.84
1188;28;b;4.2;118.07
1189;22;c;4.8;110.5
1190;32;b;3.9;150.91
1191;32;c;5.7;137.19
1192;26;c;5.1;105.03
1193;27;c;7.2;133.83
1194;42;a;1.8;317.59
1195;24;b;5.4;124.28
1196;30;c;6.6;124.73
1197;28;b;3.0;116.59
1198;24;b;3.0;139.13
1199;29;c;6.6;158.14
1200;32;b;3.3;145.24
1201;30;c;5.7;107.58
1202;33;c;6.3;142.44
1203;33;b;3.6;128.51
1204;23;b;5.4;144.35
1205;32;c;6.9;122.04
1206;27;c;5.7;79.0
1207;27;b;4.2;143.55
1208;23;a;1.2;379.33
1209;29;a;1.5;382.77
1210;28;c;6.9;87.0
1211;29;c;7.2;111.13
1212;29;c;5.7;129.61
1213;34;c;6.0;112.44
1214;26;b;4.5;147.71
1215;22;b;4.2;124.76
1216;25;b;4.8;202.54
1217;32;b;3.6;135.82
1218;30;b;4.2;139.35
1219;24;b;4.8;132.34
1220;36;c;7.5;104.54
1221;33;c;5.1;102.27
1222;25;b;5.1;153.34
1223;32;a;1.5;376.08
1224;34;c;5.4;141.21
1225;22;b;3.6;130.88
1226;36;c;4.5;152.49
1227;30;c;5.1;114.9
1228;36;a;1.8;340.31
1229;38;c;5.1;132.93
1230;26;b;3.0;121.47
1231;33;c;4.2;117.03
1232;29;c;5.1;112.29
1233;32;c;7.2;97.9
1234;28;c;4.5;130.21
1235;30;c;5.4;123.14
1236;34;c;6.9;128.0
1237;38;c;5.7;95.71
1238;22;c;6.0;112.14
1239;36;c;5.4;119.48
1240;22;c;6.0;111.69
1241;36;c;4.2;113.75
1242;31;c;5.7;106.45
1243;29;b;3.3;139.04
1244;25;b;3.6;163.68
1245;31;a;1.2;480.1
1246;41;a;1.5;462.83
1247;38;c;4.2;98.65
1248;27;c;5.7;143.42
1249;30;a;1.8;352.0
1250;26;b;4.2;160.12
1251;26;c;6.6;84.86
1252;22;c;4.8;130.05
1253;26;c;4.5;101.38
1254;28;c;7.2;142.41
1255;25;b;4.2;114.04
1256;38;c;5.7;117.06
1257;26;b;4.2;158.85
1258;33;b;5.4;173.44
1259;32;a;0.3;374.15
1260;28;b;3.6;155.6
1261;27;b;4.8;141.98
1262;38;a;1.8;439.25
1263;32;c;6.3;124.05
1264;34;c;6.3;126.89
1265;27;c;6.9;121.71
1266;26;c;7.5;120.33
1267;27;b;5.4;169.6
1268;39;a;1.5;470.91
1269;29;a;1.5;308.86
1270;33;b;4.2;126.88
1271;22;c;4.8;89.35
1272;22;b;3.9;145.28
1273;28;b;4.5;186.21
1274;22;c;7.2;117.95
1275;31;c;5.1;103.03
1276;36;c;4.8;121.67
1277;30;c;5.4;90.88
1278;30;b;3.6;120.09
1279;32;c;6.6;92.68
1280;26;c;7.2;114.03
1281;24;b;4.5;164.91
1282;31;c;6.3;111.03
1283;29;b;3.3;146.89
1284;31;c;6.9;130.46
1285;33;c;5.4;108.42
1286;31;c;7.2;119.44
1287;31;b;3.9;177.05
1288;27;b;5.1;148.67
1289;20;b;3.6;161.21
1290;33;b;3.9;125.71
1291;28;b;3.9;103.37
1292;31;c;6.0;131.82
1293;32;b;4.2;121.63
1294;33;c;4.5;77.12
1295;22;b;5.1;132.79
1296;20;b;5.4;132.36
1297;38;c;5.4;98.22
1298;42;a;1.5;443.64
1299;22;b;3.6;187.26
1300;38;c;5.7;125.81
1301;26;c;6.3;110.83
1302;39;a;0.9;403.36
1303;22;b;5.1;126.33
1304;29;b;4.2;186.0
1305;32;c;4.5;140.29
1306;22;b;3.3;168.67
1307;31;c;6.3;93.61
1308;27;c;6.9;152.6
1309;25;c;6.0;106.45
1310;31;b;3.0;116.95
1311;30;c;4.2;102.88
1312;42;a;0.3;416.0
1313;30;c;4.5;118.04
1314;32;c;4.5;107.05
1315;30;c;6.3;151.43
1316;31;c;5.1;152.88
1317;22;b;3.0;137.11
1318;33;b;4.2;140.73
1319;26;c;5.7;95.37
1320;44;a;0.6;480.18
1321;29;c;4.5;94.44
1322;28;c;7.5;108.1
1323;38;a;1.8;356.38
1324;26;c;6.0;113.71
1325;34;c;7.2;105.0
1326;28;c;6.9;101.14
1327;32;c;6.6;150.58
1328;38;c;7.2;118.76
1329;22;c;6.0;133.93
1330;32;b;4.5;154.76
1331;24;b;5.1;168.36
1332;25;b;3.0;111.45
1333;26;c;4.5;140.78
1334;32;c;6.9;110.29
1335;38;c;5.4;109.03
1336;25;b;3.9;157.62
1337;38;c;7.5;124.69
1338;33;b;3.0;108.02
1339;34;b;3.6;156.93
1340;32;b;4.2;143.76
1341;38;a;1.2;280.81
1342;33;c;5.4;95.29
1343;30;c;6.3;109.05
1344;34;b;4.8;183.22
1345;27;b;3.3;145.69
1346;34;b;3.0;111.8
1347;32;c;5.1;115.4
1348;23;a;0.9;278.53
1349;41;a;0.9;431.17
1350;24;b;5.1;148.95
1351;41;a;1.2;375.64
1352;29;b;4.2;147.68
1353;27;c;5.7;131.35
1354;38;c;7.5;126.1
1355;29;b;5.4;144.05
1356;25;b;4.5;108.59
1357;34;c;6.3;111.84
1358;25;b;4.8;120.59
1359;42;a;1.2;478.82
1360;25;b;5.1;158.35
1361;32;c;6.0;120.82
1362;34;c;6.0;111.36
1363;27;c;4.8;89.73
1364;20;b;4.8;126.95
1365;33;b;4.2;125.3
1366;29;c;5.4;118.2
1367;36;c;5.1;145.65
1368;31;c;6.9;121.98
1369;27;b;4.2;184.24
1370;26;b;3.6;146.61
1371;33;b;3.0;156.15
1372;33;a;0.9;485.25
1373;30;a;1.5;322.73
1374;22;b;3.0;157.74
1375;31;c;4.8;140.61
1376;42;a;0.6;449.69
1377;33;c;5.1;140.57
1378;25;b;4.8;192.39
1379;27;b;3.0;112.88
1380;22;c;4.2;87.6
1381;31;c;7.5;111.96
1382;33;c;5.4;109.13
1383;28;c;5.4;141.89
1384;26;c;6.0;104.21
1385;29;c;6.6;152.66
1386;34;c;6.3;109.74
1387;25;c;7.5;98.8
1388;25;c;5.4;129.61
1389;28;c;4.5;102.15
1390;28;b;3.3;121.45
1391;36;c;5.4;86.93
1392;38;c;7.2;118.27
1393;28;b;3.9;96.47
1394;31;c;6.0;139.34
1395;23;b;4.8;129.84
1396;26;c;6.0;96.68
1397;29;c;7.2;101.53
1398;26;b;3.3;133.05
1399;38;c;6.0;127.53
1400;31;c;5.7;107.66
1401;30;c;7.5;112.2
1402;32;c;7.2;144.22
1403;31;c;6.0;129.26
1404;25;c;6.9;96.36
1405;42;a;0.9;465.0
1406;29;c;5.7;99.72
1407;25;c;4.5;97.07
1408;23;b;3.0;165.41
1409;26;b;5.1;117.48
1410;30;c;7.5;99.95
1411;27;b;3.6;197.0
1412;33;c;5.7;103.68
1413;30;c;5.4;115.34
1414;25;c;6.6;103.65
1415;38;c;4.5;118.84
1416;25;c;4.8;103.05
1417;25;c;5.4;119.24
1418;27;b;3.3;119.77
1419;33;b;3.0;137.98
1420;29;b;3.6;223.5
1421;32;b;4.2;135.16
1422;32;c;7.2;129.61
1423;26;c;7.5;125.59
1424;29;c;5.4;89.54
1425;41;a;0.9;332.47
1426;29;c;4.8;137.58
1427;28;c;7.2;159.46
1428;31;b;3.0;140.49
1429;26;c;5.7;112.14
1430;25;b;3.9;110.96
1431;32;c;4.5;136.48
1432;36;c;7.5;125.4
1433;29;c;4.8;105.81
1434;28;c;7.2;92.41
1435;23;b;3.6;135.51
1436;27;c;4.8;88.12
1437;20;b;3.9;156.81
1438;29;c;6.0;124.86
1439;20;b;4.5;158.1
1440;41;a;1.5;390.93
1441;23;b;4.2;149.0
1442;32;a;1.2;341.53
1443;27;c;4.5;109.25
1444;34;c;6.9;101.22
1445;28;b;4.5;144.8
1446;29;c;7.5;137.37
1447;31;a;0.9;307.31
1448;25;c;6.6;107.0
1449;25;c;6.6;105.22
1450;29;c;4.2;122.08
1451;22;c;7.5;110.41
1452;32;c;4.8;141.98
1453;31;c;6.6;97.27
1454;23;b;3.3;177.61
1455;36;c;5.4;109.96
1456;34;b;3.6;111.87
1457;26;b;4.8;129.9
1458;31;a;1.2;436.25
1459;26;c;4.5;131.47
1460;31;b;3.6;165.49
1461;33;b;3.0;163.97
1462;23;b;3.0;128.88
