cliente;perfil;valor_total_ticket;idade;renda_sm;recorrencia
251;c;6744;31;7.5;61
252;b;6140;34;4.8;41
253;c;6029;22;6;49
254;c;5817;27;5.7;64
255;b;6981;24;3;45
256;a;4592;40;0.9;17
257;c;7697;33;7.5;54
258;a;5415;38;0.6;16
259;b;5214;30;5.1;44
260;c;7675;27;7.2;60
261;b;6192;24;3;36
262;c;6336;38;7.2;59
263;c;5931;32;5.1;45
264;c;6724;26;6.6;60
265;a;5439;39;1.2;17
266;c;6184;32;4.5;49
267;b;6058;32;4.2;41
268;c;6010;32;4.8;59
269;b;5855;34;3.3;37
270;c;6782;22;4.5;52
271;b;5892;23;4.2;41
272;c;5972;36;4.2;61
273;b;5496;29;3.3;43
274;c;7979;25;7.2;66
275;c;5622;29;5.1;69
276;b;5768;23;3.3;35
277;c;5812;26;4.2;56
278;c;4934;32;6.9;64
279;b;5696;28;3.6;51
280;b;6278;23;5.4;46
281;b;5043;24;5.1;48
282;a;5791;23;1.2;14
283;c;6828;25;5.4;50
284;c;7949;36;4.2;61
285;c;6415;33;7.2;61
286;c;6306;25;5.4;58
287;c;6269;34;5.4;49
288;c;6455;22;4.5;67
289;c;7498;38;4.5;64
290;c;7752;33;6.6;61
291;c;7263;25;5.1;63
292;a;4541;23;0.9;15
293;c;6194;28;7.5;61
294;c;6511;31;6.3;63
295;c;5837;29;4.5;51
296;c;7616;22;7.2;53
297;c;7155;36;6.6;55
298;c;5746;27;5.7;69
299;c;7496;25;5.7;53
300;b;5627;24;3.9;30
301;c;7942;31;7.5;51
302;c;6857;25;6.3;69
303;b;5730;27;3.6;45
304;b;7094;23;4.2;37
305;c;7408;27;5.7;56
306;b;6530;22;5.4;47
307;c;7446;25;6;54
308;a;4538;37;1.8;16
309;c;6286;33;4.2;56
310;a;5746;29;0.9;11
311;b;5276;22;3.3;39
312;b;6185;25;3;33
313;b;6270;28;3.9;42
314;c;6951;31;4.8;52
315;c;7618;34;6.6;55
316;b;5221;23;4.5;47
317;b;5856;34;3;45
318;b;6456;22;4.5;41
319;c;7786;22;6.6;45
320;c;7361;36;6.6;66
321;b;6728;32;3.6;43
322;b;5060;24;3.9;35
323;b;6191;32;3;41
324;c;7160;26;4.5;58
325;c;6114;33;7.2;49
326;b;6805;33;4.2;43
327;a;4640;39;0.9;13
328;a;4743;40;0.3;10
329;c;7106;38;5.4;48
330;c;7926;36;6;48
331;b;6393;34;5.4;36
332;b;6695;30;5.4;43
333;b;5125;20;3.9;42
334;c;7175;27;4.5;56
335;a;5042;23;0.9;19
336;c;5851;32;4.5;59
337;a;5705;29;0.6;10
338;b;6730;31;3.3;37
339;b;5138;29;4.2;30
340;b;5798;24;4.5;40
341;b;5212;28;3;48
342;a;5035;34;1.5;10
343;c;4962;33;7.5;66
344;c;6049;34;6;63
345;b;5223;30;3;42
346;b;6328;28;3.3;46
347;c;5798;27;4.2;45
348;b;5620;23;3;35
349;b;5646;29;4.8;40
350;c;6826;29;5.7;48
351;b;6065;26;3.9;35
352;b;5957;31;4.2;48
353;c;5775;29;4.2;50
354;b;4906;28;3.3;46
355;c;6322;26;4.5;67
356;b;6872;24;3.3;37
357;c;6894;30;7.5;69
358;b;5112;29;5.1;38
359;b;4984;32;4.2;51
360;b;5144;20;4.5;48
361;c;5717;27;6.6;67
362;b;5780;33;5.1;50
363;c;7416;25;4.2;64
364;b;4944;25;3.3;33
365;c;7724;36;5.1;63
366;a;5568;39;1.2;16
367;c;5606;34;4.5;49
368;c;5772;27;6;56
369;b;6875;27;3.6;33
370;c;7165;28;4.5;50
371;b;5054;33;4.2;48
372;b;5990;33;3.9;47
373;c;6974;26;7.2;66
374;b;6220;20;4.2;40
375;b;6257;28;3;46
376;a;5887;33;1.2;14
377;c;6442;32;4.8;50
378;c;6814;32;7.2;55
379;c;6430;30;6.6;60
380;b;5245;30;3.3;35
381;c;6415;32;5.1;61
382;c;6352;22;4.5;59
383;a;4957;37;1.8;19
384;c;7990;27;4.2;57
385;c;6565;31;4.5;54
386;b;6441;28;3.9;41
387;c;7317;29;5.4;58
388;c;6454;33;6;48
389;b;5493;26;4.2;46
390;a;4404;41;1.8;10
391;c;6081;36;6.6;59
392;b;5698;24;5.1;39
393;c;4981;34;7.2;58
394;b;6110;32;5.4;35
395;b;5432;33;3.6;36
396;c;5830;36;7.5;51
397;b;6327;30;3.6;45
398;b;6903;28;3;30
399;b;4987;23;3.3;35
400;c;7901;32;5.7;49
401;b;6447;23;5.4;50
402;c;7282;31;4.8;55
403;c;7364;32;5.4;58
404;c;7307;33;5.1;56
405;c;7643;32;4.5;61
406;a;5582;42;1.5;19
407;c;6019;26;4.2;60
408;b;6207;33;3.9;39
409;c;5961;29;5.7;57
410;c;6458;33;5.1;45
411;b;6253;34;4.2;48
412;b;6480;33;4.2;38
413;c;5959;26;4.2;53
414;b;6531;29;3.9;42
415;b;6335;29;3.3;35
416;c;6354;32;6.3;61
417;b;5294;27;3;50
418;c;6108;29;6.9;64
419;c;7945;33;5.7;55
420;b;6072;24;5.1;41
421;b;4997;33;3.9;35
422;a;4561;38;1.5;16
423;c;7460;30;6.9;50
424;c;7756;36;5.1;53
425;b;5025;22;5.4;37
426;b;5146;25;3;38
427;c;6143;31;4.5;48
428;b;5668;24;4.5;30
429;b;5976;30;5.4;49
430;c;6072;33;6.6;59
431;c;7419;25;6.6;63
432;b;5573;25;3;35
433;c;5760;30;6.3;52
434;b;5260;28;4.8;33
435;b;5523;23;4.2;36
436;b;6275;25;3;39
437;c;7762;30;6;50
438;b;6824;34;3.3;46
439;b;5065;26;4.2;44
440;c;7482;29;4.2;66
441;c;7429;32;6.3;48
442;c;7240;26;5.7;51
443;b;6106;33;4.8;42
444;b;6010;33;4.8;30
445;c;7157;29;4.5;67
446;b;5125;20;4.5;42
447;c;6794;34;7.5;55
448;c;6474;31;5.1;61
449;b;5714;31;3.3;40
450;b;5727;31;3.9;44
451;b;5260;32;3;43
452;c;7468;33;6.9;64
453;b;6681;32;4.2;51
454;b;7018;27;3;50
455;b;5151;28;3.9;43
456;c;5974;28;5.1;67
457;c;6196;27;5.7;66
458;b;5778;28;4.2;41
459;c;6053;27;6.6;52
460;c;6504;32;4.2;64
461;c;5683;26;7.2;57
462;c;7481;31;7.2;48
463;c;7712;38;5.1;54
464;b;7010;22;4.2;44
465;b;6805;28;3.9;30
466;b;6836;25;4.8;38
467;c;7427;30;4.5;67
468;c;7313;33;6.6;48
469;b;6277;20;3;41
470;c;5923;30;6;58
471;b;5208;20;3.3;50
472;a;5592;36;1.5;13
473;c;6907;29;6.9;67
474;b;5702;22;5.1;33
475;b;5417;26;3.6;35
476;b;5885;23;3.3;50
477;c;6888;34;4.8;54
478;c;7396;30;5.4;50
479;c;6549;36;6.9;67
480;c;6443;33;6.6;61
481;c;6702;22;6;45
482;b;6760;26;4.8;35
483;b;6588;22;5.4;49
484;b;6201;23;5.1;43
485;c;5725;27;6;52
486;b;7013;22;5.1;42
487;c;7627;38;4.8;57
488;a;4706;35;0.6;13
489;a;4461;29;1.2;17
490;c;7362;36;6.6;56
491;b;5117;33;3;46
492;b;6782;24;5.4;51
493;c;6260;26;4.2;53
494;b;5773;24;3;42
495;c;7781;32;4.8;66
496;b;6105;22;3.6;46
497;b;6885;27;3.9;48
498;c;7169;32;7.5;66
499;c;5661;22;5.7;58
500;c;6326;31;5.1;45
501;;7240;33;7.5;63
502;;7631;36;7.5;45
503;;6917;32;4.5;60
504;;5560;25;5.4;47
505;;6362;33;3.3;30
506;;6826;30;4.8;69
507;;5579;28;4.5;40
508;;5473;22;3.3;42
509;;5675;26;3.9;51
510;;6509;28;4.5;40
511;;5642;29;6.6;55
512;;4462;32;1.8;12
513;;5039;30;5.1;46
514;;5637;27;7.2;52
515;;5591;29;5.1;44
516;;6518;31;3.9;36
517;;7235;26;5.4;48
518;;6570;25;4.5;30
519;;6342;34;4.5;46
520;;6756;31;6.3;55
521;;5718;42;0.6;13
522;;4947;26;6.3;45
523;;5078;28;5.4;40
524;;6233;34;6.9;69
525;;5747;28;4.5;69
526;;5119;22;4.2;47
527;;4971;28;6.6;60
528;;6288;38;5.1;48
529;;5603;28;4.8;63
530;;6012;32;4.2;61
531;;5517;29;3.3;42
532;;6343;33;7.2;60
533;;7665;28;5.1;67
534;;7191;32;4.8;58
535;;4976;29;1.8;16
536;;6940;30;6;66
537;;6350;36;4.2;66
538;;5509;39;1.8;16
539;;5758;25;4.8;59
540;;5011;33;5.4;44
541;;6036;22;4.8;30
542;;5696;22;5.4;51
543;;7054;26;3.6;39
544;;5135;27;3;41
545;;6583;20;4.5;38
546;;6613;27;5.1;50
547;;7424;33;7.5;52
548;;6570;33;3.3;38
549;;6019;38;5.7;69
550;;7974;28;4.5;67
551;;5521;31;3;36
552;;6020;22;4.5;48
553;;5629;33;4.5;58
554;;7231;25;4.5;58
555;;5168;26;4.2;45
556;;6545;36;7.2;69
557;;6186;32;3.6;44
558;;6446;38;7.2;51
559;;6968;26;6.9;59
560;;6818;32;3.9;45
561;;6588;20;4.2;36
562;;6053;29;3.6;33
563;;4326;39;0.9;19
564;;5527;27;4.5;35
565;;6475;30;6.6;48
566;;4979;28;4.5;49
567;;6755;33;3.6;40
568;;7958;33;5.7;61
569;;5781;33;3;40
570;;4725;39;0.3;16
571;;6259;33;5.1;48
572;;7283;38;4.5;61
573;;4955;38;4.2;48
574;;5451;33;3.3;51
575;;5607;27;6.6;53
576;;4914;25;4.5;45
577;;7254;26;5.4;45
578;;6377;25;3.9;42
579;;6936;22;3.9;50
580;;7125;30;5.7;57
581;;7763;28;5.4;61
582;;5883;33;6.9;55
583;;6549;24;4.2;30
584;;6455;26;5.4;42
585;;6049;32;4.2;50
586;;5566;34;4.2;42
587;;7061;31;3.3;51
588;;5077;41;1.8;19
589;;6830;29;4.2;57
590;;7188;25;5.7;55
591;;6632;25;3.6;44
592;;7970;34;7.5;57
593;;7110;26;6.6;61
594;;5243;29;3.9;36
595;;6721;27;3.6;36
596;;5893;29;5.4;58
597;;6146;22;3.3;33
598;;5404;39;0.3;14
599;;6362;29;6.3;61
600;;5834;38;4.2;64
601;;5662;30;4.2;38
602;;7006;27;3.3;37
603;;5662;22;5.1;38
604;;7931;30;7.2;67
605;;6296;22;3.6;44
606;;4899;41;0.9;10
607;;6237;22;3;47
608;;6802;22;5.7;51
609;;6567;25;6.6;61
610;;6184;34;4.5;51
611;;7071;30;4.5;51
612;;7177;31;6.6;45
613;;5969;31;3.3;49
614;;6298;34;3.3;40
615;;7168;33;6.9;64
616;;6049;22;3;36
617;;5206;27;5.4;33
618;;6220;25;4.2;52
619;;5793;25;4.2;58
620;;7040;32;3;49
621;;5531;33;1.5;12
622;;7267;38;6.3;59
623;;6425;34;5.1;39
624;;6794;24;5.1;44
625;;7345;31;4.5;64
626;;7622;28;4.5;53
627;;5856;25;4.2;51
628;;7281;29;7.2;48
629;;6677;33;3.9;37
630;;6231;38;4.5;52
631;;5167;33;3.3;50
632;;5195;41;1.5;16
633;;6013;29;4.5;49
634;;6508;31;4.8;50
635;;7759;36;5.4;59
636;;7253;32;7.5;52
637;;5736;30;7.2;64
638;;4704;38;0.6;13
639;;5885;28;6;64
640;;5678;33;4.8;30
641;;6053;32;6;69
642;;7499;28;5.7;54
643;;7079;32;3;48
644;;6977;22;3.6;35
645;;6840;32;7.5;49
646;;7495;31;6.6;57
647;;5190;35;0.3;16
648;;6052;26;3.9;48
649;;4829;41;1.5;19
650;;6452;29;4.8;44
651;;7360;29;5.1;63
652;;6765;36;7.2;59
653;;5796;38;5.7;54
654;;6055;31;5.4;49
655;;6824;28;7.5;45
656;;6124;32;7.5;60
657;;6107;26;5.7;64
658;;6198;29;6;54
659;;5082;41;1.5;16
660;;6918;33;3.9;30
661;;5308;32;1.2;12
662;;6075;33;3;35
663;;4851;31;1.2;14
664;;6276;27;5.7;51
665;;5701;32;6.3;63
666;;6572;32;5.7;60
667;;5198;20;3.3;40
668;;6638;29;4.8;51
669;;7059;30;3.6;37
670;;7159;36;6.9;63
671;;5594;42;0.9;15
672;;7624;22;4.5;51
673;;5657;32;4.8;67
674;;6873;32;4.5;60
675;;6049;36;6.6;67
676;;5150;28;4.8;40
677;;6541;34;6;50
678;;5608;38;5.4;67
679;;6737;26;4.2;52
680;;5584;41;1.8;11
681;;6261;24;5.1;35
682;;4467;41;0.3;16
683;;7138;26;4.8;52
684;;6995;26;4.8;36
685;;6037;25;5.1;33
686;;5107;35;1.8;16
687;;5089;27;3.3;44
688;;6783;28;5.1;53
689;;4922;28;4.2;48
690;;7312;33;7.5;66
691;;6415;28;4.8;46
692;;4915;32;6.6;59
693;;6957;27;5.1;37
694;;6825;29;7.2;48
695;;6468;20;3.9;35
696;;5399;32;0.3;15
697;;7913;28;6;45
698;;5355;41;1.5;19
699;;5404;35;0.3;10
700;;5009;29;3.3;49
701;;6360;22;4.2;43
702;;5843;27;6.9;64
703;;6780;33;4.5;44
704;;6061;29;3;33
705;;5923;23;5.4;35
706;;4399;38;1.5;13
707;;6418;38;6.6;66
708;;6270;30;5.1;51
709;;4536;42;0.9;15
710;;6448;28;4.5;47
711;;6612;26;4.8;37
712;;5716;32;4.8;49
713;;6447;34;4.2;35
714;;6208;29;5.7;61
715;;6451;32;5.4;54
716;;4847;31;1.8;11
717;;6303;29;6.6;54
718;;6240;25;7.2;58
719;;5164;27;5.1;47
720;;5676;31;5.1;54
721;;6562;26;6;58
722;;5935;30;5.1;67
723;;6966;27;7.5;63
724;;7462;38;5.7;48
725;;5860;24;3.9;50
726;;5448;37;1.8;13
727;;6424;30;4.8;39
728;;4967;38;0.9;11
729;;6498;25;6;67
730;;6197;27;3.6;45
731;;7089;25;3.3;36
732;;5422;31;4.8;39
733;;5195;35;0.9;19
734;;6246;22;3.3;33
735;;6730;22;5.1;56
736;;5267;20;3.6;40
737;;6505;25;5.7;59
738;;5655;24;3.3;47
739;;6702;34;3.6;40
740;;7457;30;6;58
741;;7227;38;5.7;54
742;;6335;32;5.4;63
743;;6495;33;3.6;46
744;;5419;27;3.3;36
745;;6766;23;5.1;47
746;;4902;33;7.5;50
747;;5922;31;6.3;54
748;;5680;20;4.8;44
749;;7317;27;5.4;59
750;;5401;33;5.1;51
751;;6465;30;7.2;59
752;;4335;31;1.8;12
753;;6743;27;3.9;44
754;;4920;30;7.2;52
755;;6426;27;7.5;49
756;;4358;34;0.3;19
757;;5290;32;5.1;40
758;;4948;27;6.3;61
759;;5014;28;5.4;41
760;;7196;25;4.2;63
761;;6113;27;3.3;36
762;;6761;34;6.3;67
763;;7465;30;6.3;51
764;;5207;20;4.8;51
765;;7484;36;5.1;58
766;;5654;29;6;61
767;;6496;38;6.9;54
768;;6999;32;3.9;35
769;;6092;28;6.3;58
770;;5751;24;3.6;33
771;;5981;31;3.3;36
772;;5841;33;6.3;66
773;;6863;32;7.2;45
774;;6430;34;5.1;69
775;;6303;25;3.9;47
776;;6271;29;4.2;48
777;;5524;27;5.4;44
778;;5894;28;4.2;50
779;;6468;30;5.4;48
780;;5619;27;3.3;39
781;;5896;31;5.7;60
782;;5953;28;5.4;55
783;;6514;27;4.8;43
784;;5907;28;4.5;38
785;;6346;25;7.2;64
786;;6710;34;3;33
787;;7469;25;6.3;45
788;;7401;27;6.3;66
789;;6951;26;3;40
790;;6033;31;5.7;54
791;;4989;24;3;47
792;;5856;32;6.9;49
793;;6887;26;5.4;61
794;;5662;38;5.4;56
795;;6588;34;5.4;52
796;;5708;32;4.5;61
797;;5832;30;0.3;11
798;;5840;30;5.1;49
799;;7089;28;3.9;51
800;;6258;25;3.9;38
801;;6654;27;4.8;40
802;;6286;33;5.1;53
803;;5816;22;5.7;50
804;;7299;34;6.6;59
805;;4566;39;1.5;11
806;;6729;26;3;50
807;;7238;25;4.5;63
808;;4930;32;4.8;50
809;;5154;24;3.6;43
810;;5879;40;1.8;14
811;;5178;30;5.1;45
812;;5925;32;4.8;56
813;;4907;31;6.3;64
814;;6344;32;5.4;48
815;;5990;23;4.8;40
816;;5255;20;4.8;48
817;;6877;29;4.2;48
818;;6876;28;6.6;59
819;;5976;33;4.5;42
820;;6278;25;5.7;50
821;;7951;36;6.3;64
822;;5754;27;5.1;58
823;;4997;31;4.2;47
824;;6812;33;7.5;48
825;;6274;28;5.1;45
826;;7368;30;6.6;45
827;;7713;29;7.5;56
828;;6204;33;5.4;53
829;;6956;36;6.3;51
830;;6707;30;5.4;35
831;;4581;42;1.2;10
832;;6082;32;6.6;55
833;;5879;26;6.3;60
834;;4995;27;5.7;50
835;;7678;27;5.4;57
836;;6475;29;5.1;63
837;;6594;32;7.2;69
838;;6971;31;4.5;47
839;;6741;34;4.2;60
840;;5885;31;6;51
841;;7913;26;4.2;49
842;;6910;36;7.5;60
843;;7920;38;5.1;50
844;;6836;32;5.7;48
845;;4996;28;6;63
846;;5734;30;4.5;36
847;;7657;33;5.1;49
848;;4687;29;0.6;14
849;;6302;25;4.5;44
850;;6166;33;4.2;60
851;;5902;38;4.8;51
852;;6334;34;3.3;35
853;;5071;30;5.4;30
854;;4954;36;5.7;49
855;;6234;34;3.9;43
856;;5014;33;3;39
857;;7460;31;6.3;59
858;;5444;25;4.8;44
859;;7101;22;6.6;58
860;;6947;27;3;39
861;;5503;29;0.3;12
862;;7973;32;4.2;48
863;;6017;30;7.2;58
864;;6552;29;4.8;55
865;;5727;32;0.6;17
866;;7005;26;5.4;41
867;;5261;31;4.5;46
868;;5832;34;7.5;56
869;;4924;33;5.1;54
870;;7782;29;4.5;50
871;;6399;32;4.5;53
872;;7907;29;5.1;49
873;;5734;31;7.2;67
874;;6907;29;6.9;69
875;;4321;37;0.3;17
876;;7316;28;6;69
877;;7248;34;5.7;52
878;;7393;26;5.7;64
879;;5944;28;6.9;69
880;;4973;29;4.2;66
881;;5997;26;7.2;61
882;;6131;22;6.6;54
883;;5697;30;4.5;30
884;;4956;22;6.6;49
885;;6773;30;5.4;67
886;;6044;31;3.3;40
887;;5813;32;6.3;57
888;;4638;38;0.9;15
889;;6215;32;5.4;36
890;;4598;35;0.3;17
891;;6803;26;5.1;35
892;;7287;31;7.2;67
893;;6473;33;5.1;45
894;;4424;41;1.8;11
895;;6948;31;7.5;50
896;;6806;28;4.2;63
897;;4737;44;1.5;16
898;;5466;29;4.5;37
899;;5854;28;4.2;69
900;;6453;29;7.5;55
901;;6096;34;3.9;48
902;;6512;30;6.3;54
903;;5550;27;3.9;50
904;;6001;32;7.2;45
905;;6992;38;5.4;60
906;;5012;33;0.9;12
907;;6826;34;3.3;44
908;;7698;38;4.8;60
909;;6143;33;5.4;66
910;;5806;20;4.5;33
911;;6241;25;4.8;36
912;;7309;32;4.5;64
913;;6951;28;3.6;49
914;;6455;28;7.5;67
915;;5868;38;4.8;54
916;;6637;30;3.3;43
917;;6744;25;5.1;63
918;;6573;29;5.7;54
919;;5866;27;5.4;35
920;;5748;44;0.3;10
921;;5146;33;3;48
922;;5223;24;3.6;46
923;;7608;27;7.5;56
924;;6276;30;5.1;35
925;;5822;36;6.9;61
926;;7750;32;4.5;54
927;;6225;28;4.5;50
928;;6277;27;4.5;48
929;;5048;33;1.5;12
930;;6970;38;6.6;54
931;;5509;30;3.9;36
932;;5129;30;4.2;45
933;;5651;25;4.8;51
934;;6738;38;6.9;52
935;;6760;27;6.3;61
936;;6370;31;7.2;53
937;;6767;25;3;45
938;;6563;22;5.1;47
939;;7422;26;5.1;61
940;;6026;22;6.3;49
941;;5887;34;4.2;57
942;;4994;30;5.1;42
943;;6356;34;6.3;51
944;;4943;31;3.6;51
945;;6433;31;6;63
946;;6552;31;5.4;49
947;;6397;22;4.2;52
948;;5892;29;1.2;16
949;;7128;22;7.2;53
950;;5705;29;6.3;64
951;;5546;27;3.3;33
952;;6873;34;4.2;52
953;;6304;29;6.3;69
954;;5848;22;4.5;50
955;;7327;31;5.7;56
956;;6731;30;7.2;61
957;;6907;27;3.9;47
958;;7712;32;6;67
959;;5306;33;0.6;11
960;;6355;27;6.3;52
961;;5466;34;4.8;30
962;;5602;31;6;51
963;;5751;27;4.2;44
964;;6060;22;6.3;64
965;;6126;23;4.2;33
966;;7062;30;3.9;39
967;;6515;34;4.8;51
968;;5693;28;4.5;43
969;;5814;24;4.8;47
970;;6325;30;5.1;42
971;;5623;34;6.6;56
